"2026-04-20 20:42:25.590" Selfbus garage door gateway
"2026-04-20 20:42:25.609" Tx/Rx;frame;count;delta ms;crc status;frame crc;calculated crc
"2026-04-20 20:42:25.719" Rx;00 01 02 CA;4;110;ok;CA;CA
"2026-04-20 20:42:25.719" Rx;00 01 02 CA;4;1;ok;CA;CA
"2026-04-20 20:42:25.839" Rx;00 01 02 CA;4;135;ok;CA;CA
"2026-04-20 20:42:25.990" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:26.136" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:26.261" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:26.399" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:26.529" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:26.668" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:26.798" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:26.943" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:27.082" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:27.214" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:27.309" Rx;28 02 01 80 0D;5;95;ok;0D;0D
"2026-04-20 20:42:27.326" Tx;80 02 14 28 05;5;2;ok;05;05
"2026-04-20 20:42:27.357" Rx;00 01 02 CA;4;40;ok;CA;CA
"2026-04-20 20:42:27.498" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:27.619" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:27.769" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:27.889" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:28.039" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:28.181" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:28.309" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:28.448" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:28.589" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:28.719" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:28.859" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:28.989" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:29.133" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:29.280" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:29.407" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:29.548" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:29.669" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:29.820" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:29.959" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:30.089" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:30.228" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:30.369" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:30.503" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:30.645" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:30.773" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:30.909" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:31.059" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:31.179" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:31.329" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:31.469" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:31.599" Rx;00 01 02 CA;4;135;ok;CA;CA
"2026-04-20 20:42:31.739" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:31.869" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:32.009" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:32.153" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:32.279" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:32.418" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:32.549" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:32.689" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:32.829" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:32.965" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:33.098" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:33.235" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:33.377" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:33.521" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:33.639" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:33.791" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:33.932" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:34.061" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:34.204" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:34.329" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:34.469" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:34.616" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:34.744" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:34.879" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:35.010" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:35.157" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:35.299" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:35.427" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:35.570" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:35.697" Rx;00 01 02 CA;4;135;ok;CA;CA
"2026-04-20 20:42:35.840" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:35.983" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:36.108" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:36.248" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:36.389" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:36.519" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:36.659" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:36.793" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:36.929" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.078" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.199" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.348" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:37.493" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:37.619" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:37.713" Rx;28 02 01 80 0D;5;94;ok;0D;0D
"2026-04-20 20:42:37.729" Tx;80 12 14 28 A7;5;2;ok;A7;A7
"2026-04-20 20:42:37.762" Rx;00 01 02 CA;4;40;ok;CA;CA
"2026-04-20 20:42:37.889" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:38.033" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.174" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.299" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:38.439" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:38.570" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.709" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.859" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:38.985" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.128" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.271" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:39.399" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:39.539" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:39.669" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.812" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:39.948" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.081" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.225" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:40.359" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:40.494" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:40.632" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.765" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:40.904" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:41.048" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:41.178" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:41.318" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:41.449" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:41.589" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:41.729" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:41.858" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:42.001" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.146" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.274" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:42.408" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:42.544" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:42.687" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.828" Rx;00 01 02 CA;4;137;ok;CA;CA
"2026-04-20 20:42:42.949" Rx;00 01 02 CA;4;136;ok;CA;CA
"2026-04-20 20:42:43.098" Rx;00 01 02 CA;4;138;ok;CA;CA
"2026-04-20 20:42:43.218" Rx;00 01 02 CA;4;137;ok;CA;CA
